id,title,genres,original_language,popularity,production_companies,release_year,budget,revenue,runtime,status,vote_average,vote_count,credits,keywords,revenue_budget_ratio,matched_production_companies
25934,"To Sir, with Love",Drama,en,11.797,['columbia british'],1967,740854,42432803.0,105.0,Released,7.5,0.8802930858156304,Sidney Poitier-Christian Roberts-Judy Geeson-Suzy Kendall-Lulu-Ann Bell-Geoffrey Bayldon-Faith Brook-Patricia Routledge-Christopher Chittell-Lynne Sue Moon-Adrienne Posta-Edward Burnham-Rita Webb-Fiona Duncan-Mona Bruce-Marianne Stone-Dervis Ward-Peter Attard-Sally James-Grahame Charles-Michael Des Barres-Margaret Heald-Ellison Kemp-Albert Lampert-Chitra Neogy-Stewart Bevan-Cyril Shaps,london england-education-respect-teacher-teenage crush-school-teacher student relationship-high school teacher-maturity-high school dance-east end of london-class field trip-life lessons-dedicated-high school kids,57.27552662,
803390,Goofer’s Brush,Crime-Thriller-Horror-Drama,en,0.6,['chuck and karl'],2008,740854,40000000.0,2.0,Released,3.35,0.0,Kaid Dhalia-Parsons-Jack O’Neill,goofer,53.991744662241146,
47178,"Aloha, Bobby and Rose",Drama-Romance-Action,en,2.64,['cine artists international'],1975,740854,35000000.0,88.0,Released,6.2,0.035600088,Paul Le Mat-Dianne Hull-Tim McIntire-Leigh French-Martine Bartlett-Noble Willingham-Robert Carradine-Eric Hines-Mario Gallo-Tony Gardenas-Edward James Olmos-Clifton Tip Fredell-Dorothy Love-Janus Blythe-Randee Lynne Jensen,volkswagen beetle-cameroon-jensen interceptor,47.24277658,
8420,...And God Created Woman,Drama-Romance,fr,9.108,['iéna'],1956,740854,33000000.0,95.0,Released,6.1,0.6052014964982458,Brigitte Bardot-Jean-Louis Trintignant-Curd Jürgens-Jane Marken-Jean Tissier-Isabelle Corey-Jacqueline Ventura-Christian Marquand-Georges Poujouly-Jean Lefebvre-Jacques Ciron-Paul Faivre-Marie Glory-Léopoldo Francès,lolita-adoption-saint tropez,44.543189346348946,
10331,Night of the Living Dead,Horror-Thriller,en,33.677,['image ten'],1968,740854,30000000.0,96.0,Released,7.6,6.641034603285564,Duane Jones-Judith O'Dea-Karl Hardman-Marilyn Eastman-Keith Wayne-Judith Ridley-Kyra Schon-Charles Craig-S. William Hinzman-Bill Cardille-John Simpson-George Kosana-Frank Doak-A.C. McDonald-Samuel R. Solito-Mark Ricci-Lee Hartman-Ross Harris-Steve Hutsko-Phillip Smith-Randy Burr-Jack Givens-Richard Ricci-Rudy Ricci-Paula Richards-Herbert Summer-William Burchinal-Al Croft-Jason Richards-Dave James-Sharon Carroll-William Mogush-Joann Michaels-Ella Mae Smith-George A. Romero-John A. Russo-Russell Streiner,sibling relationship-loss of loved one-pennsylvania usa-cemetery-gun-gas station-cellar-house-barricade-zombie-trapped-bitten-farm house,40.493808496680856,
16246,Gone in 60 Seconds,Action-Crime-Drama-Thriller,en,11.811,['halicki'],1974,1000000,40000000.0,105.0,Released,6.1,0.4207283130736468,H.B. Halicki-Marion Busia-Jerry Daugirda-James McIntyre-George Cole-Ronald Halicki-Markos Kotsikos-Butch Stockton-Phil Woods-Parnelli Jones-Gary Bettenhausen-Jonathan E. Fricke-Hal McClain-J.C. Agajanian-J.C. Agajanian Jr.-Christopher J.C. Agajanian-Billy Englehart-Sak Yamamoto-Anthony Cole-Michael Cole-Mark Cole-Ron Simmons-Don Simmons-Edward Booker-Edward Abrahms-Wally Burr-Maureen Coddington-Cheryl Dunn-Monica Englander,helicopter-car thief-police-mustang-grand theft auto-car robbery-eleanor,40.0,
539,Psycho,Horror-Drama-Thriller,en,45.0,['shamley'],1960,806947,32000000.0,109.0,Released,8.435,10.0,Anthony Perkins-Janet Leigh-Vera Miles-John Gavin-Martin Balsam-John McIntire-Simon Oakland-Frank Albertson-Patricia Hitchcock-Vaughn Taylor-Lurene Tuttle-John Anderson-Mort Mills-Fletcher Allen-Walter Bacon-Kit Carson-Francis De Sales-George Dockstader-George Eldredge-Harper Flaherty-Sam Flint-Virginia Gregg-Alfred Hitchcock-Paul Jasmin-Lee Kass-Frank Killmond-Ted Knight-Pat McCaffrie-Hans Moebus-Jeanette Nolan-Lillian O'Malley-Robert Osborne-Fred Scheiwiller-Helen Wallace,hotel-clerk-arizona-shower-motel-stolen money-taxidermy-money-secretary-black and white-corpse-murderer-theft-mental illness-private detective-missing person-psycho-voyeurism-voyeur-oedipus complex-double identity-proto-slasher-mother son relationship-birds-whodunnit-woman on the run-corruptibility-confused identities-human vulnerabilities,39.65564033325609,
31060,Recep Ivedik,Comedy,tr,8.108,"['aksoy', 'özen']",2008,740854,28548025.0,102.0,Released,4.8,0.3754191101272541,Şahan Gökbakar-Tuluğ Çizgen-Fatma Toptaş-Lemi Filozof-Hakan Bilgin-Vural Buldu-Volkan Cal-Somer Karvan-İsmail Hakkı Ürün-Hakan Akın-Ertunç Şenkay-Nedim Doğan-Asiye Dinçsoy-Berna Biber-Zeynep Şarlıgil,unknown,38.53394191028192,
513434,One Cut of the Dead,Comedy-Horror,ja,11.68,"['panpokopina', 'enbu seminar']",2017,740854,27590180.0,96.0,Released,7.7,1.9126956386655791,Takayuki Hamatsu-Yuzuki Akiyama-Kazuaki Nagaya-Harumi Shuhama-Mao-Hiroshi Ichihara-Manabu Hosoi-Shuntarô Yamazaki-Shinichiro Osawa-Donguri-Miki Yoshida-Ayana Gôda-Sakina Asamori-Tomokazu Yamaguchi-Takuya Fujimura-Satoshi Iwagô-Kyôko Takahashi-Shiori Nukumi,film in film-zombie-filmmaking-film shoot-japanese film,37.24104884363181,
9462,The Way of the Dragon,Action-Crime,cn,26.614,"['orange sky golden harvest', 'concord  inc']",1972,740854,27000000.0,100.0,Released,7.4,3.0260074824912295,Bruce Lee-Nora Miao-Chuck Norris-Wei Ping-ao-Huang Tsung-Hsun-Robert Wall-Ing-Sik Whang-Chin Ti-Tony Liu-Little Unicorn-Malisa Longo-Ngan Wu-Chen Fu-Ching-Jon T. Benn-John Kenny-Robert Baker-Riccardo Billi-Russell Cawthorne-Franz Colangeli-John Derbyshire-Alexander Grand-Barry Haigh-Michael Kaye-Lam Ching-Ying-Giuseppe Marrocco-Mark Metekingi-André E. Morgan-Anders Nelsson-Matthew Oram-Marco Pane-Ho Pich-Piet Schweer-Homan Tapsell,italy-rome italy-martial arts-kung fu-colosseum-culture clash-fight-restaurant-gangster-fistfight-chinese mafia-crime boss-honor-fish out of water-hong kong-east asian lead-combat-hoodlum-nunchaku-action hero-property,36.44442764701277,
