title,genres,original_language,popularity,production_companies,release_year,runtime,vote_average,vote_count,pc_impact,pcif,gif,pop_actor,success_pot
Rowdy Rathore,Action,hi,0.6426999999999999,bhansali,2012,5.037037037037036,6.1,0.2330187580100198,0.008375529999999999,low,high,False,high
My First Mister,Comedy,en,0.6425,firelight,2001,2.518518518518519,6.8,0.1521094670343185,0.007090273333333333,low,high,True,low
The Jazz Singer,Drama,en,0.6418999999999999,emi,1980,2.962962962962962,5.8,0.1974186699807112,0.32951414749999997,low,high,True,medium
A Thousand Acres,Drama,en,0.6418999999999999,universal,1997,2.2222222222222223,5.9,0.1682913252294587,1.5666978714723927,high,high,True,low
Brenda Starr,multiple,en,0.6416000000000001,new world,1989,1.333333333333333,4.4,0.048545575,0.075922985,low,low,False,low
The Summit,Adventure,en,0.6414,image now,2013,1.481481481481481,6.9,0.2686188460393284,0.0025344699999999996,low,high,False,low
Welcome to the North,Comedy,it,0.6403,medusa,2012,2.2222222222222223,5.8,3.8901187101117194,0.18335947416666667,low,high,False,high
Mangal Pandey - The Rising,Drama,hi,0.6399,unknown,2005,5.555555555555555,6.0,0.1650549535904306,0.312982092,low,high,False,low
The Forgiven,Thriller,en,0.6397999999999999,lionsgate,2018,2.962962962962962,6.201,0.2330187580100198,0.4699119434177216,low,medium,True,low
The Invincible Dragon,multiple,zh,0.639,pegasus motion,2019,1.7037037037037033,3.9,0.064727433,0.6345667066666667,low,low,False,high
Seven Minutes in Heaven,Comedy,en,0.6388,warner bros,1985,0.9629629629629628,6.1,0.1035638924488976,1.6886122643533121,high,high,True,low
Swimming with Sharks,Crime,en,0.6381,unknown,1994,1.333333333333333,6.6,0.8673475992595181,0.312982092,low,medium,True,low
The Legend of Bhagat Singh,Crime,hi,0.638,unknown,2002,5.925925925925926,7.0,0.1521094670343185,0.312982092,low,medium,False,medium
Force 2,Action,hi,0.6367,viacom 18,2016,3.5555555555555554,6.7,0.1165093790050099,0.041143349999999995,low,high,False,low
Grace of My Heart,Comedy,en,0.6365999999999999,universal,1996,3.0370370370370363,6.2,0.1618185819514026,1.5666978714723927,high,high,True,low
Boris - Il film,Comedy,it,0.6362,rai cinema,2011,2.4444444444444446,6.9,1.7346951985190362,0.03402235745762712,low,high,False,low
Man of the Year,Comedy,en,0.6357999999999999,universal,2006,2.962962962962962,5.9,1.1909847631623234,1.5666978714723927,high,high,True,medium
Murphy's Romance,Comedy,en,0.6349,columbia,1985,2.3703703703703702,6.1,0.1747640685075148,1.650344178225256,high,high,True,medium
Chill Factor,Action,en,0.6348,warner bros,1999,1.9259259259259256,4.896,0.3721827384882261,1.6886122643533121,high,high,True,low
The Man Who Saved the World,multiple,tr,0.6342,unknown,1982,1.1851851851851851,5.0,0.24920061620516,0.312982092,low,low,False,low
The Sea Hawk,multiple,en,0.6336999999999999,warner bros,1940,3.851851851851851,7.3,0.3171644206247491,1.6886122643533121,high,low,True,low
Fatal,Comedy,fr,0.6336,unknown,2010,1.481481481481481,5.9,1.783240773104457,0.312982092,low,high,False,low
Bright Days Ahead,Drama,fr,0.6336,tribeca,2013,1.4074074074074074,6.0,0.187709555063627,0.688257036,low,high,False,low
The Informer,Crime,en,0.6332,rko,1935,1.1851851851851851,6.8,0.2524369878441881,0.11182641714285715,low,medium,True,low
Divorce Club,Comedy,fr,0.6331,radar,2020,2.4444444444444446,5.804,0.6343288412494983,0.5235054995,low,high,False,low
An American Carol,Comedy,en,0.633,mpower,2008,0.5925925925925926,4.4,0.2362551296490478,0.027074485,low,high,True,low
Norma Rae,Drama,en,0.6329,20th century fox,1979,2.5925925925925917,7.3,0.4077828265175346,2.346507158347826,high,high,True,high
The Worst Christmas of My Life,Comedy,it,0.6324,colorado,2012,0.8148148148148149,5.9,1.5016764405090164,0.017767684,low,high,False,low
Manglehorn,Drama,en,0.6322,worldview,2015,1.6296296296296298,5.4,0.5566559219128251,0.08199262739130435,low,high,True,low
A Soldier's Story,multiple,en,0.632,columbia,1984,1.9259259259259256,6.8,0.4466192861858712,1.650344178225256,high,low,True,high
Things to Come,Drama,fr,0.6314,detailfilm,2016,2.0,6.5,0.8802930858156304,0.026937172500000002,low,high,True,low
Song One,Drama,en,0.631,worldview,2014,0.8148148148148149,5.8,0.6634561860007508,0.08199262739130435,low,high,True,low
The Original Kings of Comedy,Comedy,en,0.631,paramount,2000,2.962962962962962,6.2,0.1456367237562623,1.516934121304348,high,high,True,medium
I Love Trouble,Romance,en,0.6309,touchstone,1994,3.5555555555555554,5.5,0.5857832666640775,1.2053670535714285,medium,medium,True,low
Dirty Girl,Drama,en,0.6305,paris,2010,1.1111111111111107,6.2,0.5113467189664324,0.01831494142857143,low,high,True,low
Sarkar,Crime,hi,0.6299,unknown,2005,3.5555555555555554,6.9,0.187709555063627,0.312982092,low,medium,False,medium
