title,genres,original_language,popularity,production_companies,release_year,runtime,vote_average,vote_count,pc_impact,pcif,gif,pop_actor,success_pot
Meg 2: The Trench,Action,en,4.5,warner bros,2023,3.0370370370370363,7.079,4.417647287273292,1.6886122643533121,high,high,True,medium
The Pope's Exorcist,Horror,en,4.5,screen gems,2023,2.0740740740740735,7.433,1.7638225432702888,0.6442413717910448,low,high,True,high
Transformers: Rise of the Beasts,Action,en,4.5,paramount,2023,3.851851851851851,7.34,3.259026240501249,1.516934121304348,high,high,True,medium
Ant-Man and the Wasp: Quantumania,Action,en,4.5,marvel,2023,3.703703703703704,6.507,9.097440677307857,5.512887704358975,very high,high,True,medium
Creed III,Drama,en,4.5,metro-goldwyn-mayer,2023,3.0370370370370363,7.262,3.653863580462672,1.0234533082758621,medium,high,True,medium
Fast X,Action,en,4.5,universal,2023,4.962962962962962,7.275,10.0,1.5666978714723927,high,high,True,medium
Insidious: The Red Door,Horror,en,4.5,blumhouse,2023,2.3703703703703702,6.75,1.8253136044118217,0.45211804425373137,low,high,True,high
Plane,Action,en,4.5,di bonaventura,2023,2.3703703703703702,6.901,2.5405517366370214,2.3375325759999996,high,high,True,medium
Spider-Man: Across the Spider-Verse,multiple,en,4.5,columbia,2023,4.814814814814815,8.64,5.450049840123241,1.650344178225256,high,low,True,medium
Aquaman and the Lost Kingdom,Action,en,4.5,warner bros,2023,3.6296296296296298,6.786,2.446696959105208,1.6886122643533121,high,high,True,medium
Shazam! Fury of the Gods,multiple,en,4.5,new line cinema,2023,4.074074074074074,6.781,5.184667366,1.2639715592307692,medium,low,True,medium
Knights of the Zodiac,Fantasy,en,4.5,stage 6,2023,2.814814814814815,6.561,1.524331041982213,0.2903469828888889,low,medium,True,low
Napoleon,History,en,4.5,scott free,2023,6.148148148148147,6.516,4.1490284412339635,0.8665658946296297,low,low,True,medium
The Nun II,Horror,en,4.5,new line cinema,2023,2.5925925925925917,7.004,3.4726267686771006,1.2639715592307692,medium,high,True,medium
The Creator,Science Fiction,en,4.5,regency enterprises,2023,4.37037037037037,7.186,2.576151825,0.8769127665333333,low,high,True,low
The Hunger Games: The Ballad of Songbirds & Snakes,Drama,en,4.5,lionsgate,2023,6.074074074074074,7.3,3.919246054862972,0.4699119434177216,low,high,True,medium
Guardians of the Galaxy Vol. 3,Action,en,4.5,marvel,2023,5.555555555555555,8.053,6.9225989358810045,5.512887704358975,very high,high,True,medium
Retribution,multiple,en,4.5,studiocanal,2023,1.333333333333333,6.836,1.103602728908566,0.2975150791538462,low,low,True,low
Puss in Boots: The Last Wish,multiple,en,4.5,universal,2022,2.0740740740740735,8.284,10.0,1.5666978714723927,high,low,True,medium
Migration,multiple,en,4.5,universal,2023,0.5925925925925926,7.668,2.0162595311144766,1.5666978714723927,high,low,True,medium
Wonka,Comedy,en,4.5,warner bros,2023,3.1111111111111107,7.1,2.9127344751252475,1.6886122643533121,high,high,True,medium
Guy Ritchie's The Covenant,War,en,4.5,stx,2023,3.5555555555555554,7.662,2.126296166841431,0.3052721348148148,low,low,True,low
Expend4bles,Action,en,4.5,lionsgate,2023,2.0740740740740735,6.431,2.637642885807863,0.4699119434177216,low,high,True,low
Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation,en,4.5,paramount,2023,1.8518518518518512,7.248,1.407821662977203,1.516934121304348,high,medium,True,medium
Oppenheimer,Drama,en,4.5,universal,2023,7.851851851851851,8.129,10.0,1.5666978714723927,high,high,True,medium
Sisu,Action,fi,4.5,stage 6,2023,1.1851851851851851,7.428,2.776806866286069,0.2903469828888889,low,high,False,low
John Wick: Chapter 4,Action,en,4.5,summit,2023,7.037037037037036,7.827,10.0,1.1755522572222221,medium,high,True,medium
The Super Mario Bros. Movie,multiple,en,4.5,universal,2023,1.333333333333333,7.795,10.0,1.5666978714723927,high,low,True,medium
Evil Dead Rise,Thriller,en,4.5,new line cinema,2023,1.5555555555555554,7.038,6.268851864797338,1.2639715592307692,medium,medium,False,high
The Exorcist: Believer,Horror,en,4.5,universal,2023,2.666666666666666,5.494,0.2653824744003003,1.5666978714723927,high,high,True,low
Poor Things,Science Fiction,en,4.5,film4,2023,4.888888888888889,8.16,2.7314976633396766,0.18146075983333332,low,high,True,low
Guardians of the Galaxy Vol. 2,Adventure,en,4.5,marvel,2017,4.592592592592592,7.623,10.0,5.512887704358975,very high,high,True,medium
Mission: Impossible - Dead Reckoning Part One,Action,en,4.5,paramount,2023,6.592592592592592,7.586,8.851476432741725,1.516934121304348,high,high,True,medium
Killers of the Flower Moon,Crime,en,4.5,appian way,2023,9.703703703703702,7.525,6.598961772,0.8239929676,low,medium,True,medium
Barbie,Comedy,en,4.5,warner bros,2023,2.8888888888888893,7.14,10.0,1.6886122643533121,high,high,True,medium
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,multiple,ja,4.5,toho co,2020,3.1111111111111107,8.281,9.599078281357205,0.7190853366666667,low,low,False,high
65,Science Fiction,en,4.5,columbia,2023,1.2592592592592595,6.229,3.618263492433363,1.650344178225256,high,high,True,low
Glass Onion: A Knives Out Mystery,Comedy,en,4.5,t-street,2022,4.814814814814815,7.095,10.0,0.7018499779999999,low,high,True,low
A Haunting in Venice,Mystery,en,4.5,scott free,2023,2.148148148148148,6.794,2.4013877561588153,0.8665658946296297,low,low,True,low
Violent Night,multiple,en,4.5,universal,2022,2.7407407407407405,7.576,4.094010123370487,1.5666978714723927,high,low,True,high
Saw,Horror,en,4.5,lionsgate,2004,2.0740740740740735,7.399,10.0,0.4699119434177216,low,high,True,high
No Hard Feelings,Comedy,en,4.5,columbia,2023,2.148148148148148,6.889,0.8900022007327145,1.650344178225256,high,high,True,low
Thor: Love and Thunder,Fantasy,en,4.5,marvel,2022,3.2592592592592595,6.625,10.0,5.512887704358975,very high,medium,True,medium
Medieval,History,en,4.5,jbj,2022,3.777777777777777,7.209,1.097129986,0.042981170000000006,low,low,True,low
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,en,4.5,walt disney,2005,5.037037037037036,7.12,10.0,2.4675621212941174,high,high,True,medium
Saw X,Horror,en,4.5,lionsgate,2023,3.185185185185185,7.4,3.805973047,0.4699119434177216,low,high,False,high
Everything Everywhere All at Once,Action,en,4.5,a24,2022,4.814814814814815,7.892,10.0,0.10233037066666667,low,high,True,high
PAW Patrol: The Mighty Movie,multiple,en,4.5,paramount,2023,1.2592592592592595,6.991,0.7508382202545082,1.516934121304348,high,low,True,high
Godzilla Minus One,Science Fiction,ja,4.5,toho co,2023,3.703703703703704,8.095,0.5954923815811617,0.7190853366666667,low,high,False,high
Terrifier 2,Horror,en,4.5,bloody disgusting,2022,4.666666666666666,6.966,3.3431719031159783,0.0072675485714285715,low,high,False,high
Creed II,Drama,en,4.5,metro-goldwyn-mayer,2018,4.074074074074074,6.99,10.0,1.0234533082758621,medium,high,True,medium
Jurassic World Dominion,Adventure,en,4.5,universal,2022,5.333333333333332,6.9,10.0,1.5666978714723927,high,high,True,medium
Creed,Drama,en,4.5,metro-goldwyn-mayer,2015,4.296296296296296,7.405,10.0,1.0234533082758621,medium,high,True,high
Strange World,multiple,en,4.5,walt disney,2022,2.0,6.513,2.689424832032312,2.4675621212941174,high,low,True,low
Missing,Drama,en,4.5,stage 6,2023,2.666666666666666,7.684,0.3948373399614224,0.2903469828888889,low,high,True,high
Bullet Train,Action,en,4.5,columbia,2022,3.777777777777777,7.495,10.0,1.650344178225256,high,high,True,medium
Avatar: The Way of Water,Science Fiction,en,4.5,20th century,2022,8.666666666666666,7.656,10.0,1.460664314736842,medium,high,True,medium
Sonic the Hedgehog 2,multiple,en,4.5,paramount,2022,3.481481481481481,7.599,10.0,1.516934121304348,high,low,True,medium
Top Gun: Maverick,Action,en,4.5,paramount,2022,4.148148148148147,8.273,10.0,1.516934121304348,high,high,True,medium
Avatar,multiple,en,4.5,20th century fox,2009,6.444444444444445,7.569,10.0,2.346507158347826,high,low,True,medium
Freelance,Action,en,4.5,lipsync,2023,2.4444444444444446,6.491,0.3462917653760016,0.03248991227272727,low,high,True,low
Encanto,multiple,en,4.5,walt disney,2021,2.0,7.654,10.0,2.4675621212941174,high,low,True,medium
The Flash,Action,en,4.5,warner bros,2023,5.111111111111111,6.835,10.0,1.6886122643533121,high,high,True,medium
Blue Beetle,Action,en,4.5,warner bros,2023,3.9259259259259256,6.873,6.9614353955493415,1.6886122643533121,high,high,True,medium
Hacksaw Ridge,Drama,en,4.5,lionsgate,2016,4.7407407407407405,8.189,10.0,0.4699119434177216,low,high,True,medium
Hypnotic,multiple,en,4.5,ingenious media,2023,1.4074074074074074,6.462,2.404624127797843,0.49485519978260867,low,low,True,low
Minions: The Rise of Gru,Animation,en,4.5,universal,2022,0.8888888888888884,7.465,8.566675728507256,1.5666978714723927,high,medium,True,medium
Five Nights at Freddy's,Horror,en,4.5,blumhouse,2023,2.5925925925925917,7.719,10.0,0.45211804425373137,low,high,False,high
Black Adam,Action,en,4.5,new line cinema,2022,3.6296296296296298,7.054,10.0,1.2639715592307692,medium,high,True,medium
Turning Red,multiple,en,4.5,walt disney,2022,1.8518518518518512,7.49,10.0,2.4675621212941174,high,low,True,low
M3GAN,Science Fiction,en,4.5,universal,2022,2.0,7.308,9.097440677307857,1.5666978714723927,high,high,False,high
Doctor Strange in the Multiverse of Madness,Fantasy,en,4.5,marvel,2022,3.777777777777777,7.38,10.0,5.512887704358975,very high,medium,True,medium
Indiana Jones and the Dial of Destiny,Adventure,en,4.5,lucasfilm,2023,5.925925925925926,6.606,2.9677527929887244,5.01196809125,very high,high,True,medium
Venom: Let There Be Carnage,Science Fiction,en,4.5,columbia,2021,1.6296296296296298,6.873,10.0,1.650344178225256,high,high,True,medium
Eight Legged Freaks,multiple,en,4.5,warner bros,2002,1.7777777777777777,5.741,3.433790309008764,1.6886122643533121,high,low,True,low
Harry Potter and the Chamber of Secrets,Adventure,en,4.5,warner bros,2002,6.37037037037037,7.722,10.0,1.6886122643533121,high,high,True,medium
Deadpool 2,Action,en,4.5,20th century fox,2018,3.333333333333334,7.491,10.0,2.346507158347826,high,high,True,medium
Jeepers Creepers: Reborn,Horror,en,4.5,screen media,2022,0.9629629629629628,5.775,2.1004051937292063,0.011661582941176469,low,high,False,low
Guardians of the Galaxy,Action,en,4.5,marvel,2014,3.4074074074074066,7.904,10.0,5.512887704358975,very high,high,True,medium
Harry Potter and the Goblet of Fire,Adventure,en,4.5,warner bros,2005,6.074074074074074,7.817,10.0,1.6886122643533121,high,high,True,medium
Spider-Man: No Way Home,Action,en,4.5,columbia,2021,5.4074074074074066,7.992,10.0,1.650344178225256,high,high,True,medium
Harry Potter and the Philosopher's Stone,Adventure,en,4.5,warner bros,2001,5.703703703703704,7.913,10.0,1.6886122643533121,high,high,True,medium
Shrek,multiple,en,4.5,dreamworks,2001,1.1111111111111107,7.716,10.0,1.5526935495402299,high,low,True,medium
Interstellar,Adventure,en,4.5,legendary,2014,6.962962962962962,8.423,10.0,2.542898405,high,high,True,medium
Avengers: Endgame,Adventure,en,4.5,marvel,2019,7.851851851851851,8.268,10.0,5.512887704358975,very high,high,True,medium
Transformers: Age of Extinction,Science Fiction,en,4.5,paramount,2014,6.666666666666666,5.9,10.0,1.516934121304348,high,high,True,medium
Kama Sutra: A Tale of Love,Drama,en,4.5,ndf international,1996,3.1111111111111107,5.6,0.4369101712687871,0.0016217033333333333,low,high,False,low
Sing 2,multiple,en,4.5,universal,2021,2.5925925925925917,8.0,10.0,1.5666978714723927,high,low,True,medium
Harry Potter and the Order of the Phoenix,Adventure,en,4.5,warner bros,2007,4.666666666666666,7.7,10.0,1.6886122643533121,high,high,True,medium
Fantastic Beasts: The Secrets of Dumbledore,Fantasy,en,4.5,warner bros,2022,4.962962962962962,6.8,10.0,1.6886122643533121,high,medium,True,medium
Avengers: Infinity War,Adventure,en,4.5,marvel,2018,5.481481481481481,8.255,10.0,5.512887704358975,very high,high,True,medium
Fifty Shades Freed,Drama,en,4.5,universal,2018,2.2222222222222223,6.699,10.0,1.5666978714723927,high,high,True,medium
Meet the Robinsons,Animation,en,4.5,walt disney,2007,1.481481481481481,6.889,8.077983611,2.4675621212941174,high,medium,True,medium
Charlie and the Chocolate Factory,multiple,en,4.5,warner bros,2005,2.962962962962962,7.049,10.0,1.6886122643533121,high,low,True,medium
Garfield,Animation,en,4.5,20th century fox,2004,0.37037037037037024,5.667,10.0,2.346507158347826,high,medium,True,medium
Sound of Freedom,Action,en,4.5,santa fe,2023,4.148148148148147,8.061,5.828705321889523,2.50731818,high,high,True,high
"Miraculous: Ladybug & Cat Noir, The Movie",multiple,fr,4.5,snd,2023,2.3703703703703702,7.76,2.307532978627002,0.049581978,low,low,False,low
Harry Potter and the Prisoner of Azkaban,Adventure,en,4.5,warner bros,2004,4.888888888888889,8.021,10.0,1.6886122643533121,high,high,True,medium
After Everything,Romance,en,4.5,voltage,2023,1.333333333333333,7.001,1.9224047535826632,0.07091052,low,medium,False,low
Knock at the Cabin,Horror,en,4.5,universal,2023,1.8518518518518512,6.367,5.398267893898792,1.5666978714723927,high,high,False,medium
Cocaine Bear,Thriller,en,4.5,universal,2023,1.5555555555555554,6.219,4.394992685800096,1.5666978714723927,high,medium,True,medium
Fifty Shades of Grey,Drama,en,4.5,focus s,2015,3.703703703703704,5.9,10.0,0.34496050417475727,low,high,True,medium
The Whale,Drama,en,4.5,a24,2022,3.0370370370370363,8.008,7.993837948,0.10233037066666667,low,high,True,high
Titanic,Drama,en,4.5,paramount,1997,8.814814814814815,7.89,10.0,1.516934121304348,high,high,True,medium
The Batman,Crime,en,4.5,warner bros,2022,7.555555555555555,7.714,10.0,1.6886122643533121,high,medium,True,medium
Saw II,Horror,en,4.5,lionsgate,2005,1.333333333333333,6.569,10.0,0.4699119434177216,low,high,True,high
Morbius,Action,en,4.5,columbia,2022,2.2222222222222223,6.181,10.0,1.650344178225256,high,high,True,medium
Harry Potter and the Deathly Hallows: Part 1,Adventure,en,4.5,warner bros,2010,5.2592592592592595,7.768,10.0,1.6886122643533121,high,high,True,medium
The Lost City,Action,en,4.5,paramount,2022,2.7407407407407405,6.654,8.307765997385012,1.516934121304348,high,high,True,medium
The Hunger Games: Mockingjay - Part 1,Science Fiction,en,4.5,lionsgate,2014,3.5555555555555554,6.804,10.0,0.4699119434177216,low,high,True,medium
Piggy,Thriller,es,4.5,morena,2022,1.8518518518518512,6.6,0.9288386604010512,0.07315790230769231,low,medium,False,low
The Help,Drama,en,4.5,1492,2011,5.2592592592592595,8.2,10.0,2.55569511625,high,high,True,high
Operation Fortune: Ruse de Guerre,Action,en,4.5,miramax,2023,2.8888888888888893,6.876,0.7702564500886766,0.4651581044827586,low,high,True,low
The Nun,Horror,en,4.5,new line cinema,2018,1.5555555555555554,5.9,10.0,1.2639715592307692,medium,high,True,high
Shrek 2,multiple,en,4.5,dreamworks,2004,1.333333333333333,7.2,10.0,1.5526935495402299,high,low,True,medium
Shang-Chi and the Legend of the Ten Rings,Action,en,4.5,marvel,2021,4.222222222222221,7.6,10.0,5.512887704358975,very high,high,True,medium
The Hunger Games: Catching Fire,Adventure,en,4.5,lionsgate,2013,5.2592592592592595,7.425,10.0,0.4699119434177216,low,high,True,medium
The Battle at Lake Changjin: Water Gate Bridge,multiple,zh,4.5,bona,2022,5.481481481481481,7.0,0.1197457506440379,1.0426929066666668,medium,low,False,medium
Uncharted,Action,en,4.5,columbia,2022,3.0370370370370363,7.043,10.0,1.650344178225256,high,high,True,medium
The Conjuring: The Devil Made Me Do It,Horror,en,4.5,new line cinema,2021,2.666666666666666,7.5,10.0,1.2639715592307692,medium,high,True,medium
Dune,Science Fiction,en,4.5,legendary,2021,5.925925925925926,7.783,10.0,2.542898405,high,high,True,medium
3-D Sex and Zen: Extreme Ecstasy,multiple,cn,4.5,medusa,2011,2.2222222222222223,4.7,0.2362551296490478,0.18335947416666667,low,low,False,medium
A Good Day to Die Hard,Action,en,4.5,20th century fox,2013,1.7037037037037033,5.319,10.0,2.346507158347826,high,high,True,medium
Coco,multiple,en,4.5,walt disney,2017,2.2222222222222223,8.2,10.0,2.4675621212941174,high,low,True,medium
The Suicide Squad,Action,en,4.5,warner bros,2021,4.222222222222221,7.594,10.0,1.6886122643533121,high,high,True,medium
Jawan,Action,hi,4.5,red chillies,2023,6.962962962962962,7.4,0.491928489,0.0864252,low,high,True,high
The Northman,Action,en,4.5,focus s,2022,4.592592592592592,7.112,10.0,0.34496050417475727,low,high,True,low
Dungeons & Dragons: Honor Among Thieves,Adventure,en,4.5,paramount,2023,4.37037037037037,7.5,7.239763356505754,1.516934121304348,high,high,True,medium
The Menu,Horror,en,4.5,tsg,2022,2.3703703703703702,7.233,8.314238740663068,2.0599138846,high,high,True,medium
Past Lives,Drama,en,4.5,a24,2023,2.296296296296296,7.89,2.155423511592683,0.10233037066666667,low,high,False,low
Brothers,Drama,en,4.5,lionsgate,2009,2.2222222222222223,7.292,9.2754411174544,0.4699119434177216,low,high,True,low
After,Romance,en,4.5,voltage,2019,2.296296296296296,7.16,10.0,0.07091052,low,medium,False,high
A Haunted House,Comedy,en,4.5,im global,2013,0.8148148148148149,5.783,4.916048519683612,0.16249138044444444,low,high,True,high
Harry Potter and the Half-Blood Prince,Adventure,en,4.5,warner bros,2009,5.777777777777777,7.694,10.0,1.6886122643533121,high,high,True,medium
Black Panther: Wakanda Forever,Action,en,4.5,marvel,2022,6.444444444444445,7.162,10.0,5.512887704358975,very high,high,True,medium
The Emperor's New Groove,multiple,en,4.5,walt disney,2000,0.22222222222222232,7.5,10.0,2.4675621212941174,high,low,True,medium
Dog,Drama,en,4.5,filmnation,2022,2.0,7.363,3.854518622082411,0.21545207285714288,low,high,True,high
Triangle of Sadness,Comedy,en,4.5,bbc,2022,5.333333333333332,7.275,3.4629176537600164,0.11591021775862069,low,high,True,low
"Monsters, Inc.",Animation,en,4.5,disney-pixar,2001,1.2592592592592595,7.84,10.0,4.402320623714285,very high,medium,True,medium
The Conjuring,Horror,en,4.5,new line cinema,2013,2.7407407407407405,7.537,10.0,1.2639715592307692,medium,high,True,high
The Boss Baby: Family Business,multiple,en,4.5,universal,2021,2.3703703703703702,7.472,7.019690085051846,1.5666978714723927,high,low,True,medium
"The Gangster, the Cop, the Devil",Crime,ko,4.5,ba,2019,2.5925925925925917,7.8,2.9127344751252475,0.35058976999999997,low,medium,False,high
Luca,multiple,en,4.5,walt disney,2021,1.481481481481481,7.9,10.0,2.4675621212941174,high,low,True,low
Harry Potter and the Deathly Hallows: Part 2,Fantasy,en,4.5,warner bros,2011,4.074074074074074,8.1,10.0,1.6886122643533121,high,medium,True,medium
The Lion King,Adventure,en,4.5,walt disney,2019,3.185185185185185,7.131,10.0,2.4675621212941174,high,high,True,medium
Blade Runner 2049,Science Fiction,en,4.5,warner bros,2017,6.592592592592592,7.525,10.0,1.6886122643533121,high,high,True,medium
Fast & Furious Presents: Hobbs & Shaw,Action,en,4.5,universal,2019,4.592592592592592,6.865,10.0,1.5666978714723927,high,high,True,medium
Puss in Boots,multiple,en,4.5,dreamworks,2011,1.1111111111111107,6.521,10.0,1.5526935495402299,high,low,True,medium
The Nightmare Before Christmas,Fantasy,en,4.5,touchstone,1993,0.0740740740740744,7.841,10.0,1.2053670535714285,medium,medium,False,medium
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,en,4.5,walt disney,2003,5.037037037037036,7.789,10.0,2.4675621212941174,high,high,True,medium
After We Fell,Romance,en,4.5,vertical,2021,1.7777777777777777,7.13,6.8481623881833595,0.0034753109677419357,low,medium,True,low
Wrath of Man,Action,en,4.5,lionsgate,2021,3.2592592592592595,7.682,10.0,0.4699119434177216,low,high,True,medium
The Dark Knight,multiple,en,4.5,warner bros,2008,5.703703703703704,8.513,10.0,1.6886122643533121,high,low,True,medium
Scary Movie,Comedy,en,4.5,dimension,2000,0.9629629629629628,6.346,10.0,0.5459469046875001,low,high,True,high
xXx: Return of Xander Cage,Action,en,4.5,paramount,2017,2.3703703703703702,6.139,10.0,1.516934121304348,high,high,True,medium
Shrek Forever After,multiple,en,4.5,dreamworks,2010,1.333333333333333,6.355,10.0,1.5526935495402299,high,low,True,medium
The Godfather,Drama,en,4.5,paramount,1972,7.4074074074074066,8.71,10.0,1.516934121304348,high,high,True,high
The Unbearable Weight of Massive Talent,Action,en,4.5,saturn,2022,2.3703703703703702,6.777,3.433790309008764,0.7134061933333332,low,high,True,low
X,Horror,en,4.5,a24,2022,2.296296296296296,6.778,5.689541341411316,0.10233037066666667,low,high,True,low
The Matrix Resurrections,Science Fiction,en,4.5,warner bros,2021,5.333333333333332,6.5,10.0,1.6886122643533121,high,high,True,medium
The Boy and the Heron,multiple,ja,4.5,studio ghibli,2023,3.6296296296296298,7.2,0.8900022007327145,0.7428858247619048,low,low,False,medium
The Hangover,Comedy,en,4.5,warner bros,2009,1.8518518518518512,7.314,10.0,1.6886122643533121,high,high,True,high
The Amazing Spider-Man 2,Action,en,4.5,columbia,2014,4.888888888888889,6.488,10.0,1.650344178225256,high,high,True,medium
Ant-Man,Science Fiction,en,4.5,marvel,2015,3.1111111111111107,7.083,10.0,5.512887704358975,very high,high,True,medium
The Bad Guys,multiple,en,4.5,universal,2022,1.8518518518518512,7.7,4.553574896,1.5666978714723927,high,low,True,medium
Spider-Man: Homecoming,multiple,en,4.5,marvel,2017,4.296296296296296,7.345,10.0,5.512887704358975,very high,low,True,medium
Beau Is Afraid,Comedy,en,4.5,a24,2023,7.703703703703702,7.0,1.1942211348013514,0.10233037066666667,low,high,True,low
Warrior,Drama,en,4.5,lionsgate,2011,4.814814814814815,7.84,10.0,0.4699119434177216,low,high,True,low
Saltburn,Drama,en,4.5,mrc,2023,4.148148148148147,7.108,5.0649216150789025,1.7763179986666668,high,high,True,low
Top Gun,Action,en,4.5,paramount,1986,2.5925925925925917,7.027,10.0,1.516934121304348,high,high,True,high
Pirates of the Caribbean: On Stranger Tides,Adventure,en,4.5,walt disney,2011,4.592592592592592,6.5,10.0,2.4675621212941174,high,high,True,medium
The Dark Knight Rises,multiple,en,4.5,warner bros,2012,6.666666666666666,7.777,10.0,1.6886122643533121,high,low,True,medium
Iron Man,Action,en,4.5,marvel,2008,3.777777777777777,7.6,10.0,5.512887704358975,very high,high,True,medium
The Color Purple,Music,en,4.5,warner bros,2023,4.888888888888889,6.896,0.3268735355418333,1.6886122643533121,high,low,True,low
Mad Max: Fury Road,Action,en,4.5,warner bros,2015,3.4074074074074066,7.586,10.0,1.6886122643533121,high,high,True,medium
Prometheus,Science Fiction,en,4.5,20th century fox,2012,3.6296296296296298,6.5,10.0,2.346507158347826,high,high,True,medium
Inside Out,multiple,en,4.5,walt disney,2015,1.481481481481481,7.92,10.0,2.4675621212941174,high,low,True,medium
The Wolf of Wall Street,Crime,en,4.5,appian way,2013,7.777777777777777,8.036,10.0,0.8239929676,low,medium,True,medium
Love Again,Romance,en,4.5,screen gems,2023,2.148148148148148,6.392,0.1197457506440379,0.6442413717910448,low,medium,True,low
The Lord of the Rings: The Fellowship of the Ring,Adventure,en,4.5,new line cinema,2001,7.703703703703702,8.402,10.0,1.2639715592307692,medium,high,True,medium
May December,Drama,en,4.5,killer,2023,3.1111111111111107,6.889,0.087382034,0.043588757435897435,low,high,True,low
The Lion King,Family,en,4.5,walt disney,1994,1.0370370370370372,8.256,10.0,2.4675621212941174,high,medium,True,medium
Thor: The Dark World,Action,en,4.5,marvel,2013,2.7407407407407405,6.552,10.0,5.512887704358975,very high,high,True,medium
Eternals,Science Fiction,en,4.5,marvel,2021,6.0,6.914,10.0,5.512887704358975,very high,high,True,medium
Air,Drama,en,4.5,amazon,2023,2.7407407407407405,7.418,3.255789868862221,0.07188639126436783,low,high,True,low
Mean Girls,Comedy,en,4.5,paramount,2004,1.6296296296296298,7.195,10.0,1.516934121304348,high,high,True,high
Finding Nemo,Animation,en,4.5,disney-pixar,2003,1.8518518518518512,7.825,10.0,4.402320623714285,very high,medium,True,medium
Fury,War,en,4.5,columbia,2014,4.444444444444445,7.5,10.0,1.650344178225256,high,low,True,medium
Toy Story,multiple,en,4.5,disney-pixar,1995,0.44444444444444464,7.966,10.0,4.402320623714285,very high,low,True,high
Zootopia,multiple,en,4.5,walt disney,2016,2.518518518518519,7.746,10.0,2.4675621212941174,high,low,True,medium
Real Steel,Action,en,4.5,dreamworks,2011,3.851851851851851,6.955,10.0,1.5526935495402299,high,high,True,medium
Dragon Ball Z: Resurrection 'F',Action,ja,4.5,20th century fox,2015,1.333333333333333,6.8,5.165249135888772,2.346507158347826,high,high,False,high
Ratatouille,multiple,en,4.5,walt disney,2007,2.666666666666666,7.814,10.0,2.4675621212941174,high,low,True,medium
The Fate of the Furious,Action,en,4.5,universal,2017,4.518518518518517,6.892,10.0,1.5666978714723927,high,high,True,medium
The Little Mermaid,Animation,en,4.5,walt disney,1989,0.5925925925925926,7.3,10.0,2.4675621212941174,high,medium,False,medium
RRR,Action,te,4.5,lyca,2022,8.222222222222221,7.845,3.0939712869108185,0.03191625,low,high,True,medium
The Maze Runner,multiple,en,4.5,20th century fox,2014,2.814814814814815,7.17,10.0,2.346507158347826,high,low,True,high
Mortal Kombat,Action,en,4.5,new line cinema,2021,2.5925925925925917,7.1,10.0,1.2639715592307692,medium,high,False,high
Cruella,Comedy,en,4.5,walt disney,2021,4.37037037037037,8.083,10.0,2.4675621212941174,high,high,True,medium
Raya and the Last Dragon,multiple,en,4.5,walt disney,2021,2.3703703703703702,7.937,10.0,2.4675621212941174,high,low,True,medium
The Killer,Crime,en,4.5,netflix,2023,3.185185185185185,6.649,3.8448095071653263,0.0015451706172839505,low,medium,True,low
Ice Age,multiple,en,4.5,20th century fox,2002,0.44444444444444464,7.34,10.0,2.346507158347826,high,low,True,medium
Toy Story 4,multiple,en,4.5,walt disney,2019,1.8518518518518512,7.51,10.0,2.4675621212941174,high,low,True,medium
The Princess and the Frog,Romance,en,4.5,walt disney,2009,1.7037037037037033,7.2,10.0,2.4675621212941174,high,medium,True,medium
Pirates of the Caribbean: At World's End,Adventure,en,4.5,walt disney,2007,6.962962962962962,7.241,10.0,2.4675621212941174,high,high,True,medium
Spider-Man: Into the Spider-Verse,multiple,en,4.5,columbia,2018,3.1111111111111107,8.406,10.0,1.650344178225256,high,low,True,medium
The Twin,Horror,en,4.5,don,2022,2.518518518518519,6.0,0.4207283130736468,0.014983070000000001,low,high,True,low
Resident Evil: Welcome to Raccoon City,Horror,en,4.5,screen gems,2021,2.3703703703703702,6.1,6.443615933304853,0.6442413717910448,low,high,False,low
Devotion,War,en,4.5,stx,2022,4.7407407407407405,7.249,1.6376040493481947,0.3052721348148148,low,low,False,low
How the Grinch Stole Christmas,Family,en,4.5,universal,2000,2.148148148148148,6.74,10.0,1.5666978714723927,high,medium,True,medium
Cars 3,multiple,en,4.5,disney-pixar,2017,2.0,6.8,10.0,4.402320623714285,very high,low,True,medium
The King's Man,Action,en,4.5,20th century,2021,4.148148148148147,6.8,10.0,1.460664314736842,medium,high,True,medium
Red Notice,multiple,en,4.5,seven bucks,2021,3.185185185185185,6.795,10.0,1.9421554570588233,high,low,True,low
Clifford the Big Red Dog,multiple,en,4.5,paramount,2021,1.6296296296296298,7.3,4.886921174932359,1.516934121304348,high,low,True,low
Doctor Strange,Action,en,4.5,marvel,2016,2.962962962962962,7.425,10.0,5.512887704358975,very high,high,True,medium
Jurassic World,multiple,en,4.5,universal,2015,3.6296296296296298,6.678,10.0,1.5666978714723927,high,low,True,medium
Nobody,Action,en,4.5,87north,2021,1.2592592592592595,8.077,10.0,0.37264741,low,high,True,high
Renfield,multiple,en,4.5,universal,2023,1.333333333333333,6.759,2.9062617318471915,1.5666978714723927,high,low,True,low
